task_id,section,work_type,duration_h,asset_condition,overdue_days,operational_impact,safety_impact,failure_risk,delay_min,asset_available
MNT001,SEC001,Track Renewal,4,2,5,8,12,6,12,98
MNT002,SEC002,OHE Maintenance,6,1,12,15,18,10,25,88
MNT003,SEC003,Signal Overhauling,3,0,2,5,4,3,5,95
MNT004,SEC001,Bridge Inspection,8,3,20,18,22,14,40,72
MNT005,SEC004,Ballast Cleaning,12,2,8,12,15,9,18,85
MNT006,SEC005,Rail Grinding,4,1,3,6,8,5,8,92
MNT007,SEC002,TRD Check,2,0,1,3,4,2,3,99
MNT008,SEC006,Platform Repair,6,2,10,10,12,7,15,80
MNT009,SEC003,Track Renewal,4,3,15,16,20,12,35,75
MNT010,SEC007,OHE Maintenance,3,1,4,7,8,6,10,90
MNT011,SEC001,Signal Overhauling,2,0,0,2,3,1,2,97
MNT012,SEC008,Bridge Inspection,6,2,7,9,14,8,20,82
MNT013,SEC004,TRD Check,3,1,6,8,10,6,12,86
MNT014,SEC005,Ballast Cleaning,8,3,18,14,19,13,30,70
MNT015,SEC002,Rail Grinding,4,2,9,11,13,9,22,84
MNT016,SEC009,Track Renewal,6,1,5,7,9,5,9,91
MNT017,SEC010,OHE Maintenance,4,0,2,4,5,3,6,96
MNT018,SEC001,Signal Overhauling,8,3,25,20,24,15,45,68
MNT019,SEC003,Bridge Inspection,12,2,11,13,16,10,28,78
MNT020,SEC006,Platform Repair,3,1,3,5,7,4,7,93
MNT021,SEC004,TRD Check,2,0,1,2,3,2,4,98
MNT022,SEC007,Track Renewal,6,2,13,12,17,11,26,81
MNT023,SEC008,Rail Grinding,4,1,4,6,8,5,11,89
MNT024,SEC009,Ballast Cleaning,8,2,9,10,12,8,19,83
MNT025,SEC010,OHE Maintenance,3,0,0,3,4,2,3,97
MNT026,SEC001,Signal Overhauling,4,1,7,9,11,7,14,87
MNT027,SEC002,Bridge Inspection,6,3,16,15,21,12,32,74
MNT028,SEC003,Track Renewal,2,0,2,3,5,3,5,95
MNT029,SEC004,Platform Repair,8,2,8,11,14,9,21,82
MNT030,SEC005,TRD Check,4,1,5,7,9,6,13,88
MNT031,SEC006,Ballast Cleaning,12,3,19,17,22,13,38,71
MNT032,SEC007,Rail Grinding,3,0,1,2,4,2,2,99
MNT033,SEC008,OHE Maintenance,6,2,10,11,15,8,23,80
MNT034,SEC009,Signal Overhauling,4,1,6,8,10,6,15,86
MNT035,SEC010,Track Renewal,8,2,12,13,18,11,29,77
MNT036,SEC001,Bridge Inspection,3,1,3,5,6,4,8,91
MNT037,SEC002,Platform Repair,4,2,9,10,12,8,18,84
MNT038,SEC003,TRD Check,2,0,0,2,3,1,1,99
MNT039,SEC004,Ballast Cleaning,6,3,14,14,19,12,33,73
MNT040,SEC005,OHE Maintenance,4,1,4,6,8,5,9,90
MNT041,SEC006,Signal Overhauling,8,2,11,12,16,10,27,79
MNT042,SEC007,Track Renewal,12,3,22,18,23,14,42,69
MNT043,SEC008,Rail Grinding,3,0,2,3,4,2,4,96
MNT044,SEC009,Bridge Inspection,6,1,5,7,9,6,12,87
MNT045,SEC010,Platform Repair,4,2,8,9,11,7,17,82
MNT046,SEC001,TRD Check,2,0,1,2,3,2,3,98
MNT047,SEC002,Ballast Cleaning,8,2,10,12,15,9,24,80
MNT048,SEC003,OHE Maintenance,4,1,6,8,10,6,14,88
MNT049,SEC004,Signal Overhauling,6,2,9,10,13,8,20,83
MNT050,SEC005,Track Renewal,12,3,20,16,21,13,36,70
